datetime,Latitude,Longitude,geometry
2019-10-15,84.76212366666665,134.2649647916667,POINT (134.2649647916667 84.76212366666665)
2019-10-16,84.76222333333332,133.52246191666666,POINT (133.5224619166667 84.76222333333332)
2019-10-17,84.75542104166666,132.98337991666668,POINT (132.9833799166667 84.75542104166666)
2019-10-18,84.821243,133.133671375,POINT (133.133671375 84.821243)
2019-10-19,84.93591883333332,133.07717333333338,POINT (133.0771733333334 84.93591883333332)
2019-10-20,84.998451125,132.73965641666666,POINT (132.7396564166667 84.998451125)
2019-10-21,85.12251562499999,132.4820262083333,POINT (132.4820262083333 85.12251562499999)
2019-10-22,85.26930758333333,131.22021275,POINT (131.22021275 85.26930758333333)
2019-10-23,85.34768941666665,129.90800154166666,POINT (129.9080015416667 85.34768941666665)
2019-10-24,85.40496145833333,128.92096229166665,POINT (128.9209622916667 85.40496145833333)
2019-10-25,85.44595466666665,127.90887374999998,POINT (127.90887375 85.44595466666665)
2019-10-26,85.45716729166666,127.39829695833333,POINT (127.3982969583333 85.45716729166666)
2019-10-27,85.49833754166667,126.87256991666665,POINT (126.8725699166666 85.49833754166667)
2019-10-28,85.58521404166667,126.15899762500003,POINT (126.158997625 85.58521404166667)
2019-10-29,85.66440399999999,125.23238929166666,POINT (125.2323892916667 85.66440399999999)
2019-10-30,85.72529816666666,124.28665925000001,POINT (124.28665925 85.72529816666666)
2019-10-31,85.77348320833335,123.446022125,POINT (123.446022125 85.77348320833335)
2019-11-01,85.81969466666668,122.85529650000002,POINT (122.8552965 85.81969466666668)
2019-11-02,85.85823987500002,122.41614904166666,POINT (122.4161490416667 85.85823987500002)
2019-11-03,85.90429974999999,121.30733374999998,POINT (121.30733375 85.90429974999999)
2019-11-04,85.94597579166667,119.78850675,POINT (119.78850675 85.94597579166667)
2019-11-05,85.93966279166666,118.4953345833333,POINT (118.4953345833333 85.93966279166666)
2019-11-06,85.91886862500002,117.47689716666666,POINT (117.4768971666667 85.91886862500002)
2019-11-07,85.91780358333334,116.65959108333334,POINT (116.6595910833333 85.91780358333334)
2019-11-08,85.89616966666667,116.057177125,POINT (116.057177125 85.89616966666667)
2019-11-09,85.84076799999998,115.81742087500002,POINT (115.817420875 85.84076799999998)
2019-11-10,85.82918012500001,116.14336404166666,POINT (116.1433640416667 85.82918012500001)
2019-11-11,85.91204862500001,116.64080470833336,POINT (116.6408047083334 85.91204862500001)
2019-11-12,86.03221308333333,117.54489870833333,POINT (117.5448987083333 86.03221308333333)
2019-11-13,86.114577,117.97265224999997,POINT (117.97265225 86.114577)
2019-11-14,86.17091070833332,118.235989125,POINT (118.235989125 86.17091070833332)
2019-11-15,86.19125679166666,118.59972633333338,POINT (118.5997263333334 86.19125679166666)
2019-11-16,86.15917504166667,120.89573516666667,POINT (120.8957351666667 86.15917504166667)
2019-11-17,86.00222654166664,122.28740170833332,POINT (122.2874017083333 86.00222654166664)
2019-11-18,85.83215608333335,120.65324270833331,POINT (120.6532427083333 85.83215608333335)
2019-11-19,85.78954829166666,120.78632991666662,POINT (120.7863299166666 85.78954829166666)
2019-11-20,85.75956979166665,121.43485941666665,POINT (121.4348594166667 85.75956979166665)
2019-11-21,85.74106462499998,120.92071354166667,POINT (120.9207135416667 85.74106462499998)
2019-11-22,85.73353470833335,120.61936537500002,POINT (120.619365375 85.73353470833335)
2019-11-23,85.75244333333335,120.57201516666665,POINT (120.5720151666666 85.75244333333335)
2019-11-24,85.89209987499999,121.26874724999999,POINT (121.26874725 85.89209987499999)
2019-11-25,86.04474654166665,120.52648433333331,POINT (120.5264843333333 86.04474654166665)
2019-11-26,86.12619516666666,119.15045529166667,POINT (119.1504552916667 86.12619516666666)
2019-11-27,86.1579405,117.92462833333333,POINT (117.9246283333333 86.1579405)
2019-11-28,86.15563829166666,116.56194462500001,POINT (116.561944625 86.15563829166666)
2019-11-29,86.10809679166664,114.33559595833334,POINT (114.3355959583333 86.10809679166664)
2019-11-30,86.04074804166667,112.93783466666669,POINT (112.9378346666667 86.04074804166667)
2019-12-01,85.95501225,113.14792220833334,POINT (113.1479222083333 85.95501225)
2019-12-02,85.93281175,114.03056629166667,POINT (114.0305662916667 85.93281175)
2019-12-03,86.02259525000001,116.187005625,POINT (116.187005625 86.02259525000001)
2019-12-04,86.10515158333334,118.71180924999999,POINT (118.71180925 86.10515158333334)
2019-12-05,86.14071129166666,121.06120725,POINT (121.06120725 86.14071129166666)
2019-12-06,86.14182104166667,122.23441704166667,POINT (122.2344170416667 86.14182104166667)
2019-12-07,86.16907737500003,122.06820225000001,POINT (122.06820225 86.16907737500003)
2019-12-08,86.28981187500001,121.32323137500002,POINT (121.323231375 86.28981187500001)
2019-12-09,86.40913370833333,120.94689729166664,POINT (120.9468972916666 86.40913370833333)
2019-12-10,86.50446958333335,120.98626754166663,POINT (120.9862675416666 86.50446958333335)
2019-12-11,86.573470375,120.65033920833332,POINT (120.6503392083333 86.573470375)
2019-12-12,86.59743991666666,120.01760583333332,POINT (120.0176058333333 86.59743991666666)
2019-12-13,86.59552237500002,119.16434183333335,POINT (119.1643418333334 86.59552237500002)
2019-12-14,86.61194954166666,118.46244125,POINT (118.46244125 86.61194954166666)
2019-12-15,86.61803608333332,117.92787862499999,POINT (117.927878625 86.61803608333332)
2019-12-16,86.60380295833335,116.45519533333332,POINT (116.4551953333333 86.60380295833335)
2019-12-17,86.63578262499999,114.58876083333332,POINT (114.5887608333333 86.63578262499999)
2019-12-18,86.67857775,113.55739037500001,POINT (113.557390375 86.67857775)
2019-12-19,86.67870745833335,112.96229116666667,POINT (112.9622911666667 86.67870745833335)
2019-12-20,86.68088995833334,112.5862537916667,POINT (112.5862537916667 86.68088995833334)
2019-12-21,86.68673054166668,112.41738345833333,POINT (112.4173834583333 86.68673054166668)
2019-12-22,86.67130816666668,112.64932945833333,POINT (112.6493294583333 86.67130816666668)
2019-12-23,86.64160933333334,113.15491445833334,POINT (113.1549144583333 86.64160933333334)
2019-12-24,86.62470933333334,113.92273345833331,POINT (113.9227334583333 86.62470933333334)
2019-12-25,86.62610908333335,114.95977604166667,POINT (114.9597760416667 86.62610908333335)
2019-12-26,86.65371820833333,115.80253420833338,POINT (115.8025342083334 86.65371820833333)
2019-12-27,86.67741966666667,115.94880900000003,POINT (115.948809 86.67741966666667)
2019-12-28,86.67212029166666,115.73062091666664,POINT (115.7306209166666 86.67212029166666)
2019-12-29,86.64345029166667,115.83567041666667,POINT (115.8356704166667 86.64345029166667)
2019-12-30,86.59756541666667,116.84546337500001,POINT (116.845463375 86.59756541666667)
2019-12-31,86.59545495833333,117.87049133333333,POINT (117.8704913333333 86.59545495833333)
2020-01-01,86.700444875,117.87727470833335,POINT (117.8772747083333 86.700444875)
2020-01-02,86.82184324999999,116.60377399999999,POINT (116.603774 86.82184324999999)
2020-01-03,86.91478491666668,115.68924454166667,POINT (115.6892445416667 86.91478491666668)
2020-01-04,87.00411041666666,115.41035475,POINT (115.41035475 87.00411041666666)
2020-01-05,87.068516375,115.32143804166668,POINT (115.3214380416667 87.068516375)
2020-01-06,87.10259316666667,115.167859125,POINT (115.167859125 87.10259316666667)
2020-01-07,87.11842024999999,115.001515,POINT (115.001515 87.11842024999999)
2020-01-08,87.11547350000002,115.13152295833335,POINT (115.1315229583333 87.11547350000002)
2020-01-09,87.14408916666667,114.26005812499999,POINT (114.260058125 87.14408916666667)
2020-01-10,87.17690099999999,112.76129775,POINT (112.76129775 87.17690099999999)
2020-01-11,87.22366191666667,111.10712266666668,POINT (111.1071226666667 87.22366191666667)
2020-01-12,87.27488704166667,109.41310029166668,POINT (109.4131002916667 87.27488704166667)
2020-01-13,87.3358555,107.13158474999999,POINT (107.13158475 87.33585549999999)
2020-01-14,87.40906591666668,105.03381449999999,POINT (105.0338145 87.40906591666668)
2020-01-15,87.47605012499999,103.3208525,POINT (103.3208525 87.47605012499999)
2020-01-16,87.55524320833332,101.520671375,POINT (101.520671375 87.55524320833332)
2020-01-17,87.50243133333332,99.29522833333334,POINT (99.29522833333334 87.50243133333332)
2020-01-18,87.40763695833333,98.34315145833335,POINT (98.34315145833335 87.40763695833333)
2020-01-19,87.40158341666665,98.30827191666664,POINT (98.30827191666664 87.40158341666665)
2020-01-20,87.44997941666666,97.39858245833335,POINT (97.39858245833335 87.44997941666666)
2020-01-21,87.48682337499999,96.12855391666666,POINT (96.12855391666666 87.48682337499999)
2020-01-22,87.47557208333335,94.91552466666667,POINT (94.91552466666667 87.47557208333335)
2020-01-23,87.44186820833333,93.95323075,POINT (93.95323075 87.44186820833333)
2020-01-24,87.41943791666667,93.11920920833334,POINT (93.11920920833334 87.41943791666667)
2020-01-25,87.40444908333335,92.87772949999999,POINT (92.87772949999999 87.40444908333335)
2020-01-26,87.41607062499999,93.83334058333337,POINT (93.83334058333337 87.41607062499999)
2020-01-27,87.44506304166667,95.66457025,POINT (95.66457025 87.44506304166667)
2020-01-28,87.45662195833334,95.72270887500001,POINT (95.72270887500001 87.45662195833334)
2020-01-29,87.47203383333333,95.31096725000002,POINT (95.31096725000002 87.47203383333333)
2020-01-30,87.456524,96.33767579166665,POINT (96.33767579166665 87.456524)
2020-01-31,87.46109420833334,96.38714116666665,POINT (96.38714116666665 87.46109420833334)
2020-02-01,87.40945687499998,95.94949845833334,POINT (95.94949845833334 87.40945687499998)
2020-02-02,87.35195208333334,94.81459079166667,POINT (94.81459079166667 87.35195208333334)
2020-02-03,87.42031666666666,93.64442537500001,POINT (93.64442537500001 87.42031666666666)
2020-02-04,87.480096625,95.16588512499999,POINT (95.16588512499999 87.480096625)
2020-02-05,87.54623608333334,94.81021558333335,POINT (94.81021558333335 87.54623608333334)
2020-02-06,87.60776054166665,93.9903862916667,POINT (93.9903862916667 87.60776054166665)
2020-02-07,87.64135620833332,93.79643537499999,POINT (93.79643537499999 87.64135620833332)
2020-02-08,87.67778591666665,93.75430525000002,POINT (93.75430525000002 87.67778591666665)
2020-02-09,87.73199391666667,92.93443112499999,POINT (92.93443112499999 87.73199391666667)
